OBJECT,FULLOBJECT,THEME,TITLE,ABSTRACT,METADATA URL
acs_b08301_transportation,acs_b08301_transportation,census,2013-2017 ACS: Means Of Transportation To Work (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: JOURNEY TO WORK subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b08301_transportation
acs_b08303_traveltime,acs_b08303_traveltime,census,2013-2017 ACS: Travel Time To Work (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: JOURNEY TO WORK subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b08303_traveltime
acs_b09001_popunder18,acs_b09001_popunder18,census,2013-2017 ACS: Population Under 18 Years Of Age (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: CHILDREN - RELATIONSHIP subject area ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b09001_popunder18
acs_b09002_familyownchildrenunder18,acs_b09002_familyownchildrenunder18,census,2013-2017 ACS: Own Children Under 18 Years By Family Type And Age (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: CHILDREN - RELATIONSHIP subject area ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b09002_familyownchildrenunder18
acs_b09018_relationhousehold,acs_b09018_relationhousehold,census,2013-2017 ACS: Relationship To Householder For Children Under 18 Years In Households (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: CHILDREN - RELATIONSHIP subject area ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b09018_relationhousehold
acs_b09019_relationhsehldtype,acs_b09019_relationhsehldtype,census,2013-2017 ACS: Household Type (Including Living Alone) By Relationship (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: CHILDREN - RELATIONSHIP subject area ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b09019_relationhsehldtype
acs_b09020_relhsdtypeovr65,acs_b09020_relhsdtypeovr65,census,2013-2017 ACS: Relationship By Household Type (Including Living Alone) For The Population 65 Years And Over (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: CHILDREN - RELATIONSHIP subject area ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b09020_relhsdtypeovr65
acs_b11001_householdtype,acs_b11001_householdtype,census,2013-2017 ACS: Household Type (Including Living Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: HOUSEHOLDS - FAMILIES subject area.  ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b11001_householdtype
acs_b12001_sexmaritalstatus,acs_b12001_sexmaritalstatus,census,2013-2017 ACS: Sex By Marital Status For The Population 15 Years And Over (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: MARITAL STATUS subject area. Provide ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b12001_sexmaritalstatus
acs_b14001_schoolenrollment,acs_b14001_schoolenrollment,census,2013-2017 ACS: School Enrollment By Level Of School For The Population 3 Years And Over (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: SCHOOL ENROLLMENT subject area. Prov ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b14001_schoolenrollment
acs_b15002_sexeducationalattainment,acs_b15002_sexeducationalattainment,census,2013-2017 ACS: Sex By Educational Attainment For The Population 25 Years And Over (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: EDUCATIONAL ATTAINMENT subject area. ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b15002_sexeducationalattainment
acs_b16005_nativitybylanguage,acs_b16005_nativitybylanguage,census,2013-2017 ACS: Nativity By Language Spoken At Home By Ability To Speak English For The Population 5 Years And Over (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: LANGUAGE subject area. Provides info ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b16005_nativitybylanguage
acs_b17001_povertystatus,acs_b17001_povertystatus,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Sex By Age (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001_povertystatus
acs_b17001a_povertysexagewhite,acs_b17001a_povertysexagewhite,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Sex By Age (White Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001a_povertysexagewhite
acs_b17001b_povertysexageblack,acs_b17001b_povertysexageblack,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Sex By Age (Black Or African American Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001b_povertysexageblack
acs_b17001c_povertysexageamerind,acs_b17001c_povertysexageamerind,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Sex By Age (American Indian And Alaska Native Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001c_povertysexageamerind
acs_b17001d_povertysexageasian,acs_b17001d_povertysexageasian,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Sex By Age (Asian Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001d_povertysexageasian
