excise_tax_nbr,major,minor,sale_date,sale_month,sale_year,sale_price,year_built,year_renovated,lon,lat
2942854,138350,80,2018-07-20,7,2018,665000,1995,0,-121.9667789,47.7265306
2960123,375060,3817,2018-10-19,10,2018,415000,1974,0,-122.282873,47.2635248
2945338,277060,4515,2018-07-30,7,2018,1249000,1915,2005,-122.3738522,47.6490853
2968825,983420,1470,2018-12-27,12,2018,492000,2007,0,-122.2884835,47.57083189999999
2942965,892310,115,2018-07-16,7,2018,1710000,1952,0,-122.2733332,47.6790411
2953519,160460,635,2018-09-07,9,2018,929000,2017,0,-122.2891252,47.5608564
2964093,288320,1585,2018-11-26,11,2018,1088000,1931,0,-122.3285775,47.6846919
2953586,404720,91,2018-09-07,9,2018,815000,1962,0,-121.9041291,47.7703645
2951902,934890,430,2018-09-05,9,2018,1300000,1967,0,-122.1893853,47.66349839999999
2956271,512890,10,2018-10-01,10,2018,535000,1948,1980,-122.2077809,47.775343
2952154,510451,510,2018-09-06,9,2018,428000,2003,0,-122.014641,47.3548088
2920148,343850,438,2018-03-15,3,2018,749000,2017,0,-122.3612642,47.5516239
2938761,559590,280,2018-06-14,6,2018,315000,1955,0,-121.9959468,47.2046407
2952372,353043,105,2018-09-06,9,2018,300000,1974,0,-122.3174601,47.38101899999999
2966208,285610,785,2018-12-04,12,2018,560000,1986,0,-122.3910365,47.6761142
2960191,733450,730,2018-10-29,10,2018,435000,1977,0,-121.7472925,47.4658392
2950732,714640,40,2018-08-27,8,2018,582000,1965,0,-122.2803,47.3862525
2965825,399270,448,2018-12-05,12,2018,599900,1950,0,-122.2862946,47.7135393
2962183,214131,700,2018-11-07,11,2018,850000,1977,0,-122.1319971,47.5596452
2941769,721470,100,2018-07-03,7,2018,699000,1976,0,-122.0764679,47.7586832
2957026,722400,135,2018-10-06,10,2018,389999,1941,2018,-122.2030978,47.4840155
2956529,556130,1470,2018-10-02,10,2018,760000,1980,0,-122.007046,47.4644697
2954631,770194,310,2018-09-24,9,2018,510000,1989,0,-122.172952,47.414516
2953744,229650,55,2018-09-19,9,2018,352000,1955,0,-122.1967234,47.5136265
2929089,133680,815,2018-04-24,4,2018,1210000,1900,0,-122.307618,47.6250753
2940617,8800,421,2018-06-18,6,2018,445000,2002,0,-122.1913415,47.45255969999999
2946527,784620,120,2018-07-30,7,2018,840000,2004,0,-121.7770509,47.4999582
